iso,name
aa,afar
ab,abjasio
ae,avéstico
af,afrikáans
ak,akan
am,amárico
an,aragonés
ar,árabe
as,asamés
av,avar
ay,aimara
az,azerí
ba,bashkir
be,bielorruso
bg,búlgaro
bi,bislama
bm,bambara
bn,bengalí
bo,tibetano
br,bretón
bs,bosnio
ca,catalán
ce,checheno
ch,chamorro
co,corso
cr,cree
cs,checo
cu,"eslavo eclesiástico"
cv,chuvash
cy,galés
da,danés
de,alemán
de_AT,"alemán austríaco"
de_CH,"alto alemán suizo"
dv,divehi
dz,dzongkha
ee,ewé
el,griego
en,inglés
en_AU,"inglés australiano"
en_CA,"inglés canadiense"
en_GB,"inglés (RU)"
en_US,"inglés (EE. UU.)"
eo,esperanto
es,español
es_ES,"español de España"
es_MX,"español de México"
et,estonio
eu,euskera
fa,persa
ff,fula
fi,finés
fj,fiyiano
fo,feroés
fr,francés
fr_CA,"francés canadiense"
fr_CH,"francés suizo"
fy,"frisón occidental"
ga,irlandés
gd,"gaélico escocés"
gl,gallego
gn,guaraní
gu,gujarati
gv,manés
ha,hausa
he,hebreo
hi,hindi
ho,"hiri motu"
hr,croata
ht,haitiano
hu,húngaro
hy,armenio
hz,herero
ia,interlingua
id,indonesio
ie,interlingue
ig,igbo
ii,"yi de Sichuán"
ik,inupiaq
io,ido
is,islandés
it,italiano
iu,inuktitut
ja,japonés
jv,javanés
ka,georgiano
kg,kongo
ki,kikuyu
kj,kuanyama
kk,kazajo
kl,groenlandés
km,jemer
kn,canarés
ko,coreano
kr,kanuri
ks,cachemiro
ku,kurdo
kv,komi
kw,córnico
ky,kirguís
la,latín
lb,luxemburgués
lg,ganda
li,limburgués
ln,lingala
lo,laosiano
lt,lituano
lu,luba-katanga
lv,letón
mg,malgache
mh,marshalés
mi,maorí
mk,macedonio
ml,malayalam
mn,mongol
mr,maratí
ms,malayo
mt,maltés
my,birmano
na,nauruano
nb,"bokmal noruego"
nd,"ndebele septentrional"
ne,nepalí
ng,ndonga
nl,neerlandés
nl_BE,flamenco
nn,"nynorsk noruego"
no,noruego
nr,"ndebele meridional"
nv,navajo
ny,nyanja
oc,occitano
oj,ojibwa
om,oromo
or,oriya
os,osético
pa,panyabí
pi,pali
pl,polaco
ps,pastú
pt,portugués
pt_BR,"portugués de Brasil"
pt_PT,"portugués de Portugal"
qu,quechua
rm,retorrománico
rn,kiroundi
ro,rumano
ro_MD,moldavo
ru,ruso
rw,kinyarwanda
sa,sánscrito
sc,sardo
sd,sindhi
se,"sami septentrional"
sg,sango
sh,serbocroata
si,cingalés
sk,eslovaco
sl,esloveno
sm,samoano
sn,shona
so,somalí
sq,albanés
sr,serbio
ss,siswati
st,"sesotho meridional"
su,sundanés
sv,sueco
sw,swahili
ta,tamil
te,telugu
tg,tayiko
th,tailandés
ti,tigriña
tk,turcomano
tl,tagalo
tn,setchwana
to,tongano
tr,turco
ts,tsonga
tt,tártaro
tw,twi
ty,tahitiano
ug,uyghur
uk,ucraniano
ur,urdu
uz,uzbeko
ve,venda
vi,vietnamita
vo,volapük
wa,valón
wo,wólof
xh,xhosa
yi,yídish
yo,yoruba
za,zhuang
zh,chino
zu,zulú
