iso,name
aa,afar
ab,abcázio
ae,avéstico
af,africâner
ak,akan
am,amárico
an,aragonês
ar,árabe
as,assamês
av,avaric
ay,aimara
az,azeri
ba,bashkir
be,bielorrusso
bg,búlgaro
bi,bislamá
bm,bambara
bn,bengali
bo,tibetano
br,bretão
bs,bósnio
ca,catalão
ce,checheno
ch,chamorro
co,córsico
cr,cree
cs,tcheco
cu,"eslavo eclesiástico"
cv,chuvash
cy,galês
da,dinamarquês
de,alemão
de_AT,"alemão austríaco"
de_CH,"alto alemão suíço"
dv,divehi
dz,dzonga
ee,eve
el,grego
en,inglês
en_AU,"inglês australiano"
en_CA,"inglês canadense"
en_GB,"inglês do Reino Unido"
en_US,"inglês dos Estados Unidos"
eo,esperanto
es,espanhol
es_ES,"espanhol europeu"
es_MX,"espanhol mexicano"
et,estoniano
eu,basco
fa,persa
ff,fula
fi,finlandês
fj,fijiano
fo,feroês
fr,francês
fr_CA,"francês canadense"
fr_CH,"francês suíço"
fy,"frísio ocidental"
ga,irlandês
gd,"gaélico escocês"
gl,galego
gn,guarani
gu,guzerate
gv,manx
ha,hauçá
he,hebraico
hi,híndi
ho,"hiri motu"
hr,croata
ht,haitiano
hu,húngaro
hy,armênio
hz,herero
ia,interlíngua
id,indonésio
ie,interlingue
ig,ibo
ii,"sichuan yi"
ik,inupiaque
io,ido
is,islandês
it,italiano
iu,inuktitut
ja,japonês
jv,javanês
ka,georgiano
kg,congolês
ki,quicuio
kj,kuanyama
kk,cazaque
kl,groenlandês
km,khmer
kn,canarês
ko,coreano
kr,canúri
ks,caxemira
ku,curdo
kv,komi
kw,córnico
ky,quirguiz
la,latim
lb,luxemburguês
lg,luganda
li,limburguês
ln,lingala
lo,laosiano
lt,lituano
lu,luba-catanga
lv,letão
mg,malgaxe
mh,marshalês
mi,maori
mk,macedônio
ml,malaiala
mn,mongol
mr,marata
ms,malaio
mt,maltês
my,birmanês
na,nauruano
nb,"bokmål norueguês"
nd,"ndebele do norte"
ne,nepali
ng,dongo
nl,holandês
nl_BE,flamengo
nn,"nynorsk norueguês"
no,norueguês
nr,"ndebele do sul"
nv,navajo
ny,nianja
oc,occitânico
oj,ojibwa
om,oromo
or,oriya
os,ossetic
pa,panjabi
pi,páli
pl,polonês
ps,pushto
pt,português
pt_BR,"português do Brasil"
pt_PT,"português europeu"
qu,quíchua
rm,romanche
rn,rundi
ro,romeno
ro_MD,moldávio
ru,russo
rw,kinyarwanda
sa,sânscrito
sc,sardo
sd,sindi
se,"sami do norte"
sg,sango
sh,servo-croata
si,cingalês
sk,eslovaco
sl,esloveno
sm,samoano
sn,shona
so,somali
sq,albanês
sr,sérvio
ss,swati
st,"soto do sul"
su,sundanês
sv,sueco
sw,suaíli
ta,tâmil
te,telugu
tg,tajique
th,tailandês
ti,tigrínia
tk,turcomeno
tl,tagalo
tn,tswana
to,tonganês
tr,turco
ts,tsonga
tt,tatar
tw,twi
ty,taitiano
ug,uigur
uk,ucraniano
ur,urdu
uz,usbeque
ve,venda
vi,vietnamita
vo,volapuque
wa,valão
wo,uólofe
xh,xosa
yi,iídiche
yo,ioruba
za,zhuang
zh,chinês
zu,zulu
