iso,name
aa,Afar
ab,Abchasisch
ae,Avestisch
af,Afrikaans
ak,Akan
am,Amharisch
an,Aragonesisch
ar,Arabisch
as,Assamesisch
av,Awarisch
ay,Aymara
az,Aserbaidschanisch
ba,Baschkirisch
be,Weißrussisch
bg,Bulgarisch
bi,Bislama
bm,Bambara-Sprache
bn,Bengalisch
bo,Tibetisch
br,Bretonisch
bs,Bosnisch
ca,Katalanisch
ce,Tschetschenisch
ch,Chamorro-Sprache
co,Korsisch
cr,Cree
cs,Tschechisch
cu,Kirchenslawisch
cv,Tschuwaschisch
cy,Walisisch
da,Dänisch
de,Deutsch
de_AT,"Österreichisches Deutsch"
de_CH,"Schweizer Hochdeutsch"
dv,Maledivisch
dz,Bhutanisch
ee,Ewe
el,Griechisch
en,Englisch
en_AU,"Australisches Englisch"
en_CA,"Kanadisches Englisch"
en_GB,UK-Englisch
en_US,US-Englisch
eo,Esperanto
es,Spanisch
es_ES,"Europäisches Spanisch"
es_MX,"Mexikanisches Spanisch"
et,Estnisch
eu,Baskisch
fa,Persisch
ff,Ful
fi,Finnisch
fj,Fidschi
fo,Färöisch
fr,Französisch
fr_CA,"Kanadisches Französisch"
fr_CH,"Schweizer Französisch"
fy,Westfriesisch
ga,Irisch
gd,"Schottisches Gälisch"
gl,Galizisch
gn,Guarani
gu,Gujarati
gv,Manx
ha,Hausa
he,Hebräisch
hi,Hindi
ho,Hiri-Motu
hr,Kroatisch
ht,Haitianisch
hu,Ungarisch
hy,Armenisch
hz,Herero-Sprache
ia,Interlingua
id,Indonesisch
ie,Interlingue
ig,Igbo
ii,Yi
ik,Inupiak
io,Ido-Sprache
is,Isländisch
it,Italienisch
iu,Inuktitut
ja,Japanisch
jv,Javanisch
ka,Georgisch
kg,Kongolesisch
ki,Kikuyu
kj,Kwanyama
kk,Kasachisch
kl,Grönländisch
km,Kambodschanisch
kn,Kannada
ko,Koreanisch
kr,Kanuri-Sprache
ks,Kaschmirisch
ku,Kurdisch
kv,Komi-Sprache
kw,Kornisch
ky,Kirgisisch
la,Latein
lb,Luxemburgisch
lg,Ganda
li,Limburgisch
ln,Lingala
lo,Laotisch
lt,Litauisch
lu,Luba-Katanga
lv,Lettisch
mg,Madagassisch
mh,Marschallesisch
mi,Maori
mk,Mazedonisch
ml,Malayalam
mn,Mongolisch
mr,Marathi
ms,Malaiisch
mt,Maltesisch
my,Birmanisch
na,Nauruisch
nb,"Norwegisch Bokmål"
nd,Nord-Ndebele-Sprache
ne,Nepalesisch
ng,Ndonga
nl,Niederländisch
nl_BE,Flämisch
nn,"Norwegisch Nynorsk"
no,Norwegisch
nr,Süd-Ndebele-Sprache
nv,Navajo
ny,Nyanja-Sprache
oc,Okzitanisch
oj,Ojibwa-Sprache
om,Oromo
or,Oriya
os,Ossetisch
pa,Panjabi
pi,Pali
pl,Polnisch
ps,Paschtu
pt,Portugiesisch
pt_BR,"Brasilianisches Portugiesisch"
pt_PT,"Europäisches Portugiesisch"
qu,Quechua
rm,Rätoromanisch
rn,Rundi-Sprache
ro,Rumänisch
ro_MD,Moldauisch
ru,Russisch
rw,Ruandisch
sa,Sanskrit
sc,Sardisch
sd,Sindhi
se,Nord-Samisch
sg,Sango
sh,Serbo-Kroatisch
si,Singhalesisch
sk,Slowakisch
sl,Slowenisch
sm,Samoanisch
sn,Shona
so,Somali
sq,Albanisch
sr,Serbisch
ss,Swazi
st,Süd-Sotho-Sprache
su,Sundanesisch
sv,Schwedisch
sw,Suaheli
ta,Tamilisch
te,Telugu
tg,Tadschikisch
th,Thailändisch
ti,Tigrinja
tk,Turkmenisch
tl,Tagalog
tn,Tswana-Sprache
to,Tongaisch
tr,Türkisch
ts,Tsonga
tt,Tatarisch
tw,Twi
ty,Tahitisch
ug,Uigurisch
uk,Ukrainisch
ur,Urdu
uz,Usbekisch
ve,Venda-Sprache
vi,Vietnamesisch
vo,Volapük
wa,Wallonisch
wo,Wolof
xh,Xhosa
yi,Jiddisch
yo,Yoruba
za,Zhuang
zh,Chinesisch
zu,Zulu
