iso,name
aa,afar
ab,abchaziska
ae,avestiska
af,afrikaans
ak,akan
am,amhariska
an,aragonesiska
ar,arabiska
as,assamesiska
av,avariska
ay,aymara
az,azeriska
ba,basjkiriska
be,vitryska
bg,bulgariska
bi,bislama
bm,bambara
bn,bengali
bo,tibetanska
br,bretonska
bs,bosniska
ca,katalanska
ce,tjetjenska
ch,chamorro
co,korsikanska
cr,cree
cs,tjeckiska
cu,kyrkslaviska
cv,tjuvasjiska
cy,walesiska
da,danska
de,tyska
de_AT,"österrikisk tyska"
de_CH,"schweizisk högtyska"
dv,divehi
dz,bhutanesiska
ee,ewe
el,grekiska
en,engelska
en_AU,"australisk engelska"
en_CA,"kanadensisk engelska"
en_GB,"engelska (UK)"
en_US,"amerikansk engelska"
eo,esperanto
es,spanska
es_ES,"europeisk spanska"
es_MX,"mexikansk spanska"
et,estniska
eu,baskiska
fa,persiska
ff,fulani
fi,finska
fj,fijianska
fo,färöiska
fr,franska
fr_CA,"kanadensisk franska"
fr_CH,"schweizisk franska"
fy,västfrisiska
ga,iriska
gd,"skotsk gäliska"
gl,galiciska
gn,guaraní
gu,gujarati
gv,manx
ha,hausa
he,hebreiska
hi,hindi
ho,hirimotu
hr,kroatiska
ht,haitiska
hu,ungerska
hy,armeniska
hz,herero
ia,interlingua
id,indonesiska
ie,interlingue
ig,igbo
ii,"szezuan i"
ik,inupiak
io,ido
is,isländska
it,italienska
iu,inuktitut
ja,japanska
jv,javanesiska
ka,georgiska
kg,kikongo
ki,kikuyu
kj,kuanyama
kk,kazakiska
kl,grönländska
km,kambodjanska
kn,kannada
ko,koreanska
kr,kanuri
ks,kashmiriska
ku,kurdiska
kv,kome
kw,korniska
ky,kirgiziska
la,latin
lb,luxemburgiska
lg,luganda
li,limburgiska
ln,lingala
lo,laotiska
lt,litauiska
lu,luba-katanga
lv,lettiska
mg,malagassiska
mh,marshalliska
mi,maori
mk,makedonska
ml,malayalam
mn,mongoliska
mr,marathi
ms,malajiska
mt,maltesiska
my,burmesiska
na,nauru
nb,"norskt bokmål"
nd,nordndebele
ne,nepalesiska
ng,ndonga
nl,nederländska
nl_BE,flamländska
nn,nynorska
no,norska
nr,sydndebele
nv,navaho
ny,nyanja
oc,occitanska
oj,odjibwa
om,oromo
or,oriya
os,ossetiska
pa,punjabi
pi,pali
pl,polska
ps,pashto
pt,portugisiska
pt_BR,"brasiliansk portugisiska"
pt_PT,"europeisk portugisiska"
qu,quechua
rm,rätoromanska
rn,rundi
ro,rumänska
ro_MD,moldaviska
ru,ryska
rw,kinjarwanda
sa,sanskrit
sc,sardiska
sd,sindhi
se,nordsamiska
sg,sango
sh,serbokroatiska
si,singalesiska
sk,slovakiska
sl,slovenska
sm,samoanska
sn,shona
so,somaliska
sq,albanska
sr,serbiska
ss,swati
st,sydsotho
su,sundanesiska
sv,svenska
sw,swahili
ta,tamil
te,telugiska
tg,tadzjikiska
th,thailändska
ti,tigrinja
tk,turkmeniska
tl,tagalog
tn,tswana
to,tonganska
tr,turkiska
ts,tsonga
tt,tatariska
tw,twi
ty,tahitiska
ug,östturkiska
uk,ukrainska
ur,urdu
uz,uzbekiska
ve,venda
vi,vietnamesiska
vo,volapük
wa,vallonska
wo,wolof
xh,xhosa
yi,jiddisch
yo,yoruba
za,zhuang
zh,kinesiska
zu,zulu
