iso,name
aa,Afar
ab,Abchasesch
ae,Avestesch
af,Afrikaans
ak,Akan
am,Amharesch
an,Aragonesesch
ar,Arabesch
as,Assamesesch
av,Awaresch
ay,Aymara
az,Aserbaidschanesch
ba,Baschkiresch
be,Wäissrussesch
bg,Bulgaresch
bi,Bislama
bm,Bambara-Sprooch
bn,Bengalesch
bo,Tibetesch
br,Bretonesch
bs,Bosnesch
ca,Katalanesch
ce,Tschetschenesch
ch,Chamorro-Sprooch
co,Korsesch
cr,Cree
cs,Tschechesch
cu,Kiercheslawesch
cv,Tschuwaschesch
cy,Walisesch
da,Dänesch
de,Däitsch
de_AT,"Éisträichescht Däitsch"
de_CH,"Schwäizer Héichdäitsch"
dv,Maldivesch
dz,Bhutanesch
ee,Ewe-Sprooch
el,Griichesch
en,Englesch
en_AU,"Australescht Englesch"
en_CA,"Kanadescht Englesch"
en_GB,"Englesch (UK)"
en_US,"Englesch (US)"
eo,Esperanto
es,Spuenesch
es_ES,"Europäescht Spuenesch"
es_MX,"Mexikanescht Spuenesch"
et,Estnesch
eu,Baskesch
fa,Persesch
ff,Ful
fi,Finnesch
fj,Fidschianesch
fo,Färöesch
fr,Franséisch
fr_CA,"Kanadescht Franséisch"
fr_CH,"Schwäizer Franséisch"
fy,Westfriesesch
ga,Iresch
gd,"Schottescht Gällesch"
gl,Galizesch
gn,Guarani
gu,Gujarati
gv,Manx
ha,Hausa
he,Hebräesch
hi,Hindi
ho,Hiri-Motu
hr,Kroatesch
ht,Haitianesch
hu,Ungaresch
hy,Armenesch
hz,Herero-Sprooch
ia,Interlingua
id,Indonesesch
ie,Interlingue
ig,Igbo-Sprooch
ii,"Sichuan Yi"
ik,Inupiak
io,Ido-Sprooch
is,Islännesch
it,Italienesch
iu,Inukitut
ja,Japanesch
jv,Javanesch
ka,Georgesch
kg,Kongolesesch
ki,Kikuyu-Sprooch
kj,Kwanyama
kk,Kasachesch
kl,Grönlännesch
km,Kambodschanesch
kn,Kannada
ko,Koreanesch
kr,Kanuri-Sprooch
ks,Kaschmiresch
ku,Kurdesch
kv,Komi-Sprooch
kw,Kornesch
ky,Kirgisesch
la,Latäin
lb,Lëtzebuergesch
lg,Ganda-Sprooch
li,Limburgesch
ln,Lingala
lo,Laotesch
lt,Litauesch
lu,Luba-Katanga
lv,Lettesch
mg,Malagassi-Sprooch
mh,Marschallesesch
mi,Maori
mk,Mazedonesch
ml,Malayalam
mn,Mongolesch
mr,Marathi
ms,Malaiesch
mt,Maltesesch
my,Birmanesch
na,Nauruesch
nb,"Norwegesch Bokmål"
nd,Nord-Ndebele-Sprooch
ne,Nepalesesch
ng,Ndonga
nl,Hollännesch
nl_BE,Flämesch
nn,"Norwegesch Nynorsk"
no,Norwegesch
nr,Süd-Ndebele-Sprooch
nv,Navajo
ny,Nyanja-Sprooch
oc,Okzitanesch
oj,Ojibwa-Sprooch
om,Oromo
or,Orija
os,Ossetesch
pa,Pandschabesch
pi,Pali
pl,Polnesch
ps,Paschtu
pt,Portugisesch
pt_BR,"Brasilianescht Portugisesch"
pt_PT,"Europäescht Portugisesch"
qu,Quechua
rm,Rätoromanesch
rn,Rundi-Sprooch
ro,Rumänesch
ro_MD,Moldawesch
ru,Russesch
rw,Ruandesch
sa,Sanskrit
sc,Sardesch
sd,Sindhi
se,Nordsamesch
sg,Sango
sh,Serbo-Kroatesch
si,Singhalesesch
sk,Slowakesch
sl,Slowenesch
sm,Samoanesch
sn,Shona
so,Somali
sq,Albanesch
sr,Serbesch
ss,Swazi
st,Süd-Sotho-Sprooch
su,Sundanesesch
sv,Schwedesch
sw,Suaheli
ta,Tamilesch
te,Telugu
tg,Tadschikesch
th,Thailännesch
ti,Tigrinja
tk,Turkmenesch
tl,Dagalog
tn,Tswana-Sprooch
to,Tongaesch
tr,Tierkesch
ts,Tsonga
tt,Tataresch
tw,Twi
ty,Tahitesch
ug,Uiguresch
uk,Ukrainesch
ur,Urdu
uz,Usbekesch
ve,Venda-Sprooch
vi,Vietnamesesch
vo,Volapük
wa,Wallounesch
wo,Wolof
xh,Xhosa
yi,Jiddesch
yo,Yoruba
za,Zhuang
zh,Chinesesch
zu,Zulu
